Causas (lista reducida);Sexo;Mes de fallecimiento;Total
00A Covid-19 Virus identificado;Mujeres;Todos los meses;3.782
00A Covid-19 Virus identificado;Mujeres;enero;457
00A Covid-19 Virus identificado;Mujeres;febrero;262
00A Covid-19 Virus identificado;Mujeres;marzo;302
00A Covid-19 Virus identificado;Mujeres;abril;263
00A Covid-19 Virus identificado;Mujeres;mayo;292
00A Covid-19 Virus identificado;Mujeres;junio;254
00A Covid-19 Virus identificado;Mujeres;julio;169
00A Covid-19 Virus identificado;Mujeres;agosto;470
00A Covid-19 Virus identificado;Mujeres;septiembre;466
00A Covid-19 Virus identificado;Mujeres;octubre;342
00A Covid-19 Virus identificado;Mujeres;noviembre;187
00A Covid-19 Virus identificado;Mujeres;diciembre;318
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;Todos los meses;7
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;enero;2
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;febrero;0
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;marzo;0
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;abril;1
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;mayo;1
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;junio;1
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;julio;0
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;agosto;0
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;septiembre;0
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;octubre;1
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;noviembre;0
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;diciembre;1
00B Covid-19 Virus no identificado (sospechoso);Hombres;Todos los meses;2
00B Covid-19 Virus no identificado (sospechoso);Hombres;enero;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;febrero;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;marzo;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;abril;1
00B Covid-19 Virus no identificado (sospechoso);Hombres;mayo;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;junio;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;julio;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;agosto;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;septiembre;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;octubre;1
00B Covid-19 Virus no identificado (sospechoso);Hombres;noviembre;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;diciembre;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;Todos los meses;5
00B Covid-19 Virus no identificado (sospechoso);Mujeres;enero;2
00B Covid-19 Virus no identificado (sospechoso);Mujeres;febrero;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;marzo;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;abril;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;mayo;1
00B Covid-19 Virus no identificado (sospechoso);Mujeres;junio;1
00B Covid-19 Virus no identificado (sospechoso);Mujeres;julio;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;agosto;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;septiembre;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;octubre;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;noviembre;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;diciembre;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;Todos los meses;6
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;enero;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;febrero;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;marzo;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;abril;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;mayo;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;junio;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;julio;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;agosto;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;septiembre;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;octubre;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;noviembre;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;diciembre;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;Todos los meses;3
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;enero;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;febrero;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;marzo;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;abril;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;mayo;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;junio;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;julio;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;agosto;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;septiembre;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;octubre;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;noviembre;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;diciembre;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;Todos los meses;3
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;enero;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;febrero;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;marzo;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;abril;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;mayo;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;junio;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;julio;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;agosto;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;septiembre;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;octubre;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;noviembre;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;diciembre;0
001 Enfermedades infecciosas intestinales;Ambos sexos;Todos los meses;1.314
001 Enfermedades infecciosas intestinales;Ambos sexos;enero;116
001 Enfermedades infecciosas intestinales;Ambos sexos;febrero;109
001 Enfermedades infecciosas intestinales;Ambos sexos;marzo;121
001 Enfermedades infecciosas intestinales;Ambos sexos;abril;108
001 Enfermedades infecciosas intestinales;Ambos sexos;mayo;104
001 Enfermedades infecciosas intestinales;Ambos sexos;junio;103
001 Enfermedades infecciosas intestinales;Ambos sexos;julio;128
001 Enfermedades infecciosas intestinales;Ambos sexos;agosto;111
001 Enfermedades infecciosas intestinales;Ambos sexos;septiembre;103
001 Enfermedades infecciosas intestinales;Ambos sexos;octubre;98
001 Enfermedades infecciosas intestinales;Ambos sexos;noviembre;99
001 Enfermedades infecciosas intestinales;Ambos sexos;diciembre;114
001 Enfermedades infecciosas intestinales;Hombres;Todos los meses;518
001 Enfermedades infecciosas intestinales;Hombres;enero;42
001 Enfermedades infecciosas intestinales;Hombres;febrero;48
001 Enfermedades infecciosas intestinales;Hombres;marzo;40
001 Enfermedades infecciosas intestinales;Hombres;abril;39
001 Enfermedades infecciosas intestinales;Hombres;mayo;42
001 Enfermedades infecciosas intestinales;Hombres;junio;46
001 Enfermedades infecciosas intestinales;Hombres;julio;62
001 Enfermedades infecciosas intestinales;Hombres;agosto;39
001 Enfermedades infecciosas intestinales;Hombres;septiembre;35
001 Enfermedades infecciosas intestinales;Hombres;octubre;37
001 Enfermedades infecciosas intestinales;Hombres;noviembre;36
001 Enfermedades infecciosas intestinales;Hombres;diciembre;52
001 Enfermedades infecciosas intestinales;Mujeres;Todos los meses;796
001 Enfermedades infecciosas intestinales;Mujeres;enero;74
001 Enfermedades infecciosas intestinales;Mujeres;febrero;61
001 Enfermedades infecciosas intestinales;Mujeres;marzo;81
001 Enfermedades infecciosas intestinales;Mujeres;abril;69
001 Enfermedades infecciosas intestinales;Mujeres;mayo;62
001 Enfermedades infecciosas intestinales;Mujeres;junio;57
001 Enfermedades infecciosas intestinales;Mujeres;julio;66
001 Enfermedades infecciosas intestinales;Mujeres;agosto;72
001 Enfermedades infecciosas intestinales;Mujeres;septiembre;68
001 Enfermedades infecciosas intestinales;Mujeres;octubre;61
001 Enfermedades infecciosas intestinales;Mujeres;noviembre;63
001 Enfermedades infecciosas intestinales;Mujeres;diciembre;62
002 Tuberculosis y sus efectos tardíos;Ambos sexos;Todos los meses;194
002 Tuberculosis y sus efectos tardíos;Ambos sexos;enero;14
002 Tuberculosis y sus efectos tardíos;Ambos sexos;febrero;20
002 Tuberculosis y sus efectos tardíos;Ambos sexos;marzo;19
002 Tuberculosis y sus efectos tardíos;Ambos sexos;abril;7
002 Tuberculosis y sus efectos tardíos;Ambos sexos;mayo;22
002 Tuberculosis y sus efectos tardíos;Ambos sexos;junio;11
002 Tuberculosis y sus efectos tardíos;Ambos sexos;julio;15
002 Tuberculosis y sus efectos tardíos;Ambos sexos;agosto;15
002 Tuberculosis y sus efectos tardíos;Ambos sexos;septiembre;15
002 Tuberculosis y sus efectos tardíos;Ambos sexos;octubre;17
002 Tuberculosis y sus efectos tardíos;Ambos sexos;noviembre;17
002 Tuberculosis y sus efectos tardíos;Ambos sexos;diciembre;22
002 Tuberculosis y sus efectos tardíos;Hombres;Todos los meses;123
002 Tuberculosis y sus efectos tardíos;Hombres;enero;8
002 Tuberculosis y sus efectos tardíos;Hombres;febrero;10
002 Tuberculosis y sus efectos tardíos;Hombres;marzo;15
002 Tuberculosis y sus efectos tardíos;Hombres;abril;4
002 Tuberculosis y sus efectos tardíos;Hombres;mayo;11
002 Tuberculosis y sus efectos tardíos;Hombres;junio;7
002 Tuberculosis y sus efectos tardíos;Hombres;julio;15
002 Tuberculosis y sus efectos tardíos;Hombres;agosto;11
002 Tuberculosis y sus efectos tardíos;Hombres;septiembre;9
002 Tuberculosis y sus efectos tardíos;Hombres;octubre;10
002 Tuberculosis y sus efectos tardíos;Hombres;noviembre;10
002 Tuberculosis y sus efectos tardíos;Hombres;diciembre;13
002 Tuberculosis y sus efectos tardíos;Mujeres;Todos los meses;71
002 Tuberculosis y sus efectos tardíos;Mujeres;enero;6
002 Tuberculosis y sus efectos tardíos;Mujeres;febrero;10
002 Tuberculosis y sus efectos tardíos;Mujeres;marzo;4
002 Tuberculosis y sus efectos tardíos;Mujeres;abril;3
002 Tuberculosis y sus efectos tardíos;Mujeres;mayo;11
002 Tuberculosis y sus efectos tardíos;Mujeres;junio;4
002 Tuberculosis y sus efectos tardíos;Mujeres;julio;0
002 Tuberculosis y sus efectos tardíos;Mujeres;agosto;4
002 Tuberculosis y sus efectos tardíos;Mujeres;septiembre;6
002 Tuberculosis y sus efectos tardíos;Mujeres;octubre;7
002 Tuberculosis y sus efectos tardíos;Mujeres;noviembre;7
002 Tuberculosis y sus efectos tardíos;Mujeres;diciembre;9
003 Enfermedad meningocócica;Ambos sexos;Todos los meses;23
003 Enfermedad meningocócica;Ambos sexos;enero;1
003 Enfermedad meningocócica;Ambos sexos;febrero;4
003 Enfermedad meningocócica;Ambos sexos;marzo;4
003 Enfermedad meningocócica;Ambos sexos;abril;0
003 Enfermedad meningocócica;Ambos sexos;mayo;3
003 Enfermedad meningocócica;Ambos sexos;junio;0
003 Enfermedad meningocócica;Ambos sexos;julio;0
003 Enfermedad meningocócica;Ambos sexos;agosto;2
003 Enfermedad meningocócica;Ambos sexos;septiembre;1
003 Enfermedad meningocócica;Ambos sexos;octubre;2
003 Enfermedad meningocócica;Ambos sexos;noviembre;0
003 Enfermedad meningocócica;Ambos sexos;diciembre;6
003 Enfermedad meningocócica;Hombres;Todos los meses;7
003 Enfermedad meningocócica;Hombres;enero;0
003 Enfermedad meningocócica;Hombres;febrero;1
003 Enfermedad meningocócica;Hombres;marzo;1
003 Enfermedad meningocócica;Hombres;abril;0
003 Enfermedad meningocócica;Hombres;mayo;0
003 Enfermedad meningocócica;Hombres;junio;0
003 Enfermedad meningocócica;Hombres;julio;0
003 Enfermedad meningocócica;Hombres;agosto;1
003 Enfermedad meningocócica;Hombres;septiembre;0
003 Enfermedad meningocócica;Hombres;octubre;1
003 Enfermedad meningocócica;Hombres;noviembre;0
003 Enfermedad meningocócica;Hombres;diciembre;3
003 Enfermedad meningocócica;Mujeres;Todos los meses;16
003 Enfermedad meningocócica;Mujeres;enero;1
003 Enfermedad meningocócica;Mujeres;febrero;3
003 Enfermedad meningocócica;Mujeres;marzo;3
003 Enfermedad meningocócica;Mujeres;abril;0
003 Enfermedad meningocócica;Mujeres;mayo;3
003 Enfermedad meningocócica;Mujeres;junio;0
003 Enfermedad meningocócica;Mujeres;julio;0
003 Enfermedad meningocócica;Mujeres;agosto;1
003 Enfermedad meningocócica;Mujeres;septiembre;1
003 Enfermedad meningocócica;Mujeres;octubre;1
003 Enfermedad meningocócica;Mujeres;noviembre;0
003 Enfermedad meningocócica;Mujeres;diciembre;3
004 Septicemia;Ambos sexos;Todos los meses;3.071
004 Septicemia;Ambos sexos;enero;281
004 Septicemia;Ambos sexos;febrero;304
004 Septicemia;Ambos sexos;marzo;297
004 Septicemia;Ambos sexos;abril;261
004 Septicemia;Ambos sexos;mayo;215
004 Septicemia;Ambos sexos;junio;222
004 Septicemia;Ambos sexos;julio;220
004 Septicemia;Ambos sexos;agosto;281
004 Septicemia;Ambos sexos;septiembre;238
004 Septicemia;Ambos sexos;octubre;229
004 Septicemia;Ambos sexos;noviembre;230
004 Septicemia;Ambos sexos;diciembre;293
004 Septicemia;Hombres;Todos los meses;1.427
004 Septicemia;Hombres;enero;126
004 Septicemia;Hombres;febrero;140
004 Septicemia;Hombres;marzo;136
004 Septicemia;Hombres;abril;131
004 Septicemia;Hombres;mayo;97
004 Septicemia;Hombres;junio;104
004 Septicemia;Hombres;julio;110
004 Septicemia;Hombres;agosto;125
004 Septicemia;Hombres;septiembre;105
004 Septicemia;Hombres;octubre;112
004 Septicemia;Hombres;noviembre;116
004 Septicemia;Hombres;diciembre;125
004 Septicemia;Mujeres;Todos los meses;1.644
004 Septicemia;Mujeres;enero;155
004 Septicemia;Mujeres;febrero;164
004 Septicemia;Mujeres;marzo;161
004 Septicemia;Mujeres;abril;130
004 Septicemia;Mujeres;mayo;118
004 Septicemia;Mujeres;junio;118
004 Septicemia;Mujeres;julio;110
004 Septicemia;Mujeres;agosto;156
004 Septicemia;Mujeres;septiembre;133
004 Septicemia;Mujeres;octubre;117
004 Septicemia;Mujeres;noviembre;114
004 Septicemia;Mujeres;diciembre;168
005 Hepatitis vírica;Ambos sexos;Todos los meses;315
005 Hepatitis vírica;Ambos sexos;enero;25
005 Hepatitis vírica;Ambos sexos;febrero;34
005 Hepatitis vírica;Ambos sexos;marzo;24
005 Hepatitis vírica;Ambos sexos;abril;26
005 Hepatitis vírica;Ambos sexos;mayo;30
005 Hepatitis vírica;Ambos sexos;junio;25
005 Hepatitis vírica;Ambos sexos;julio;26
005 Hepatitis vírica;Ambos sexos;agosto;26
005 Hepatitis vírica;Ambos sexos;septiembre;31
005 Hepatitis vírica;Ambos sexos;octubre;29
005 Hepatitis vírica;Ambos sexos;noviembre;16
005 Hepatitis vírica;Ambos sexos;diciembre;23
005 Hepatitis vírica;Hombres;Todos los meses;187
005 Hepatitis vírica;Hombres;enero;16
005 Hepatitis vírica;Hombres;febrero;18
005 Hepatitis vírica;Hombres;marzo;17
005 Hepatitis vírica;Hombres;abril;19
005 Hepatitis vírica;Hombres;mayo;17
005 Hepatitis vírica;Hombres;junio;13
005 Hepatitis vírica;Hombres;julio;14
005 Hepatitis vírica;Hombres;agosto;14
005 Hepatitis vírica;Hombres;septiembre;16
005 Hepatitis vírica;Hombres;octubre;18
005 Hepatitis vírica;Hombres;noviembre;9
005 Hepatitis vírica;Hombres;diciembre;16
005 Hepatitis vírica;Mujeres;Todos los meses;128
005 Hepatitis vírica;Mujeres;enero;9
005 Hepatitis vírica;Mujeres;febrero;16
005 Hepatitis vírica;Mujeres;marzo;7
005 Hepatitis vírica;Mujeres;abril;7
005 Hepatitis vírica;Mujeres;mayo;13
005 Hepatitis vírica;Mujeres;junio;12
005 Hepatitis vírica;Mujeres;julio;12
005 Hepatitis vírica;Mujeres;agosto;12
005 Hepatitis vírica;Mujeres;septiembre;15
005 Hepatitis vírica;Mujeres;octubre;11
005 Hepatitis vírica;Mujeres;noviembre;7
005 Hepatitis vírica;Mujeres;diciembre;7
006 SIDA;Ambos sexos;Todos los meses;301
006 SIDA;Ambos sexos;enero;27
006 SIDA;Ambos sexos;febrero;24
006 SIDA;Ambos sexos;marzo;31
006 SIDA;Ambos sexos;abril;26
006 SIDA;Ambos sexos;mayo;15
006 SIDA;Ambos sexos;junio;23
006 SIDA;Ambos sexos;julio;22
006 SIDA;Ambos sexos;agosto;18
006 SIDA;Ambos sexos;septiembre;25
006 SIDA;Ambos sexos;octubre;27
006 SIDA;Ambos sexos;noviembre;29
006 SIDA;Ambos sexos;diciembre;34
006 SIDA;Hombres;Todos los meses;235
006 SIDA;Hombres;enero;20
006 SIDA;Hombres;febrero;22
006 SIDA;Hombres;marzo;24
006 SIDA;Hombres;abril;18
006 SIDA;Hombres;mayo;10
006 SIDA;Hombres;junio;17
006 SIDA;Hombres;julio;19
006 SIDA;Hombres;agosto;14
006 SIDA;Hombres;septiembre;20
006 SIDA;Hombres;octubre;17
006 SIDA;Hombres;noviembre;24
006 SIDA;Hombres;diciembre;30
006 SIDA;Mujeres;Todos los meses;66
006 SIDA;Mujeres;enero;7
006 SIDA;Mujeres;febrero;2
006 SIDA;Mujeres;marzo;7
006 SIDA;Mujeres;abril;8
006 SIDA;Mujeres;mayo;5
006 SIDA;Mujeres;junio;6
006 SIDA;Mujeres;julio;3
006 SIDA;Mujeres;agosto;4
006 SIDA;Mujeres;septiembre;5
006 SIDA;Mujeres;octubre;10
006 SIDA;Mujeres;noviembre;5
006 SIDA;Mujeres;diciembre;4
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;Todos los meses;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;enero;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;febrero;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;marzo;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;abril;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;mayo;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;junio;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;julio;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;agosto;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;septiembre;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;octubre;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;noviembre;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;diciembre;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;Todos los meses;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;enero;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;febrero;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;marzo;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;abril;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;mayo;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;junio;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;julio;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;agosto;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;septiembre;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;octubre;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;noviembre;0
